	mean	total	bio	tech	p.value	FDR
Fos	6.41176320108659	20.1844811369849	12.0807436128712	8.10373752411371	2.06024919230556e-12	1.30451232949166e-09
Rgs1	5.21493070241977	20.2698004901349	9.11820841555682	11.1515920745781	8.6317839216457e-06	0.00143143750033958
Dusp1	6.69436874093684	16.0817462572581	8.86077390778847	7.22097234946959	1.25218634631255e-09	4.71431237949564e-07
Ctla2a	8.65303162521342	9.5087484660429	7.34440192136878	2.16434654467411	1.55349388049891e-36	3.32786720768822e-33
Ppp1r15a	6.54444323454973	14.9467616363925	7.22926333015368	7.71749830623879	7.78106797859835e-07	0.000164227692336174
Sult1a1	5.61210796187966	17.3831830028065	7.01558627395439	10.3675967288521	0.000121146216823536	0.0133933873043798
Egr1	6.64582917399201	14.3490542424193	6.95659423315153	7.39246000926775	7.11352657911262e-07	0.000154830351948498
Aldh1a1	5.49641593297522	17.4890733867292	6.87474507164809	10.6143283150811	0.000202278065672375	0.021161825647409
Mycn	7.14335837172058	12.3907001808842	6.78855346299623	5.60214671788792	1.78923095428188e-09	6.23099679828666e-07
Junb	7.04447921445334	12.3796710640943	6.45309690927817	5.92657415481614	2.93435130230321e-08	7.86067570020841e-06
Ly6a	8.67262413165655	8.5847580721803	6.44652899740016	2.13822907478014	2.38239516519938e-31	4.14834558140342e-28
Vbp1	7.32695988052187	11.3072334780599	6.21624572358867	5.09098775447125	1.44245101509509e-09	5.15213913853195e-07
Dusp2	6.17736437235172	14.8995353600949	6.03120328503777	8.86833207505718	0.000113998667899179	0.0128064632567385
Jun	8.99760717217235	7.65530440961909	5.91191697065494	1.74338743896415	1.67229507924031e-36	3.32786720768822e-33
Myl10	6.98379974415751	12.0173751211059	5.87654760186142	6.14082751924448	5.09584732396231e-07	0.000114492182617411
Smpdl3a	7.93372789836175	9.03976613017723	5.57709862913338	3.46266750104385	9.6365263077567e-14	7.06509534037109e-11
Dynlt3	7.39200965365802	10.334971941096	5.42191846423933	4.9130534768567	2.1125228183695e-08	5.77008683527198e-06
Zfp36	7.65329925167135	9.35629803664931	5.16888225158054	4.18741578506878	1.05569045240121e-09	4.2016480005568e-07
Tuba4a	7.49982907856113	9.74251612348459	5.12954594713782	4.61297017634677	1.74978167831092e-08	4.97437934262675e-06
Ier2	7.75650746868351	8.99645823434511	5.08647965421751	3.90997858012761	2.18639696835342e-10	1.05022447479873e-07
Tpst2	7.59208754657219	9.33023020346034	4.97428020845709	4.35594999500324	8.89838434948188e-09	2.75454431085072e-06
Procr	7.66337119625969	8.95945651199606	4.79953090280728	4.15992560918878	6.80380960149331e-09	2.15402426701822e-06
H1f0	7.27557943800755	10.0229406397156	4.79456071334159	5.228379926374	1.17075145240376e-06	0.000239831878411536
Pdia6	7.64077760094327	8.99260315276909	4.77090646664864	4.22169668612045	1.16388969784374e-08	3.52456162847027e-06
Actr3	7.76407433046845	8.65860001117908	4.76854133188786	3.89005867929121	1.28962958658462e-09	4.72751056345361e-07
Mtpn	7.09536891280562	10.517146193562	4.76182806138311	5.75531813217887	7.13318230885165e-06	0.00121177109222321
Dkc1	6.8377714478807	11.4053076445668	4.72013044060163	6.68517720396515	7.1278641043232e-05	0.00863401278028019
Cd27	7.05065323286162	10.5661762556066	4.6608221943455	5.90535406126113	1.49796729173454e-05	0.00226811786672415
Maea	6.60365230699937	12.1733554689546	4.63930435799266	7.53405111096195	0.000350978404888409	0.0332593821775206
Adck3	6.91175671148109	10.9056529933234	4.49970668207966	6.40594631124374	7.61557905078057e-05	0.00906709539977551
Nfe2l2	7.03952958763108	10.4357651683519	4.49209610713637	5.94366906121549	2.83419634499773e-05	0.00411253698810609
Trim47	7.9333402175245	7.86238985609702	4.39879225289255	3.46359760320447	4.56122425475197e-10	1.98555793339672e-07
Mzt1	6.69707104709657	11.5961430883327	4.38493537907217	7.21120770926057	0.00040010528126998	0.0371564437872721
Igfbp4	6.79341910333989	11.2287755132662	4.37550112193844	6.85327439132776	0.000237578332663172	0.0239816389420144
Ube2e3	7.11279380226878	10.0540277376906	4.35531651355019	5.69871122414043	2.4142243934277e-05	0.00354001534741557
Ghitm	7.66746225902883	8.34970767704464	4.20092569307031	4.14878198397433	1.55959376914464e-07	3.74571400072153e-05
Serp1	8.2279263306276	7.00955983193734	4.18082146243661	2.82873836950073	2.84121016644436e-12	1.72078511385087e-09
Rpn1	6.880559503591	10.6296772758373	4.106497286427	6.52317998941033	0.000277276106925101	0.0275889726390475
