	mean	total	bio	tech	p.value	FDR
Plp1	3.94278449790304	16.2682397051214	16.01598365024	0.252256054881429	0	0
Mal	2.28729708963731	10.898807860532	10.3091652659787	0.589642594553362	0	0
Trf	2.11500928058364	9.95805146553611	9.34163037554297	0.616421089993139	0	0
Mbp	2.27620259509342	7.97743639009229	7.38890038119531	0.58853600889698	0	0
Mog	1.81318950357598	8.0461032666461	7.3693802409363	0.6767230257098	0	0
Apod	1.74963762025608	7.84497844028388	7.18134128858901	0.663637151694864	0	0
Cnp	2.0517032518081	7.53569226129314	6.90104778701618	0.634644474276963	0	0
Ugt8a	1.80458549857574	7.19749454231034	6.51687945683207	0.680615085478262	0	0
Enpp2	2.22165563268564	6.81628559176363	6.21207782934748	0.604207762416156	0	0
Car2	2.24225764079816	6.77557361336334	6.17705695554842	0.598516657814918	0	0
Mobp	1.7141154210373	6.83318703645844	6.14192100509661	0.691266031361832	0	0
Apoe	1.42962110692465	6.34994048940684	5.661515783096	0.688424706310836	0	0
Ptgds	1.32741061806803	6.12836430703339	5.42922904952077	0.699135257512618	0	0
Mag	1.5750424620084	6.10618290951696	5.40793080504021	0.698252104476745	0	0
Tspan2	1.81598504817739	5.82038204186592	5.14087671414293	0.679505327722984	0	0
Ermn	1.56303959271504	5.83539478768915	5.13768625304055	0.697708534648596	0	0
Cst3	3.43055739503551	5.38973453857587	5.0436311495915	0.346103388984368	0	0
Cryab	1.86627159160179	5.64373264443022	4.97107292191371	0.672659722516514	0	0
Dbi	2.68445351245828	5.40711397444132	4.91668940103376	0.490424573407567	0	0
Meg3	4.72997915592057	4.94301820592016	4.74643539267955	0.196582813240612	0	0
Stmn3	3.16325228002529	5.0761287526487	4.67238021159964	0.403748541049063	0	0
Cldn11	1.51732940967995	5.32816809119766	4.62854459125034	0.699623499947318	0	0
Mt1	2.17930291464391	5.18951393552355	4.592672285596	0.596841649927547	0	0
Cd9	1.77611732670104	5.20895385279201	4.52767078677218	0.68128306601983	0	0
Snhg11	3.47527078133892	4.81735506993987	4.47144128355412	0.345913786385745	0	0
Opalin	1.27244829314011	5.09073729121466	4.40054084136383	0.690196449850823	0	0
Atp1a2	1.65542798585069	5.08391992870424	4.38902628046385	0.694893648240388	0	0
Snap25	3.7294471072261	4.66533282802373	4.36387581026865	0.301457017755078	0	0
Rtn1	3.51986914131837	4.52855244160194	4.19521709864215	0.333335342959792	0	0
Atp1b1	4.08772702067362	4.38528713067167	4.13166445450027	0.253622676171399	0	0
Qk	2.52696439341675	4.65341671488607	4.12330227267443	0.530114442211633	0	0
Gsn	1.53945144240723	4.7357915101067	4.03653206983123	0.699259440275469	0	0
Atp2b1	4.14344220770887	4.1878369378096	3.92989909073327	0.25793784707633	0	0
Scd2	3.33291515465072	4.26599166894653	3.91121992442378	0.354771744522752	0	0
Sparcl1	3.39591729121468	4.22873462902421	3.88178625575907	0.346948373265146	0	0
Chn1	3.26270656176524	4.23039445425571	3.85087315912004	0.379521295135664	0	0
Qdpr	1.99955349527321	4.48354991812234	3.83693280824247	0.646617109879869	0	0
Snca	3.02765123997071	4.19676541903692	3.77105956826017	0.425705850776751	0	0
Sept4	1.71167448883166	4.44870384665051	3.75688562383737	0.691818222813141	0	0
Hpca	2.45951001547296	4.24739136083825	3.7155116272003	0.531879733637952	0	0
Syt1	3.68247914714204	4.0031229881835	3.69506848140663	0.308054506776877	0	0
Slc1a3	1.17457834903862	4.30637095560614	3.62670396940119	0.679666986204952	0	0
Gria2	4.00374964164484	3.81637649079446	3.54555139341372	0.270825097380745	0	0
Cpe	3.79572467854609	3.80602393671029	3.51383380455611	0.292190132154182	0	0
Nrgn	2.93029257048269	3.92727818636621	3.48680627341494	0.44047191295127	0	0
Tubb2a	3.53232266591041	3.79698572256719	3.46074928228447	0.33623644028272	0	0
Slc1a2	2.57535275284108	3.96345610163988	3.44900964213681	0.514446459503073	0	0
Sepp1	1.41448240276613	4.08653904017627	3.38608411596193	0.700454924214332	0	0
Clu	2.16639950596604	3.92609854306238	3.34501744442277	0.581081098639602	0	0
Gpm6a	4.15889347752714	3.58187766579232	3.3369578853044	0.244919780487923	0	0
Cd81	3.59575951677667	3.64004709615429	3.32117374826665	0.318873347887637	0	0
Ptn	3.26912318726782	3.63522010488688	3.26694540604872	0.368274698838152	0	0
Gatm	1.47590206002161	3.96774739624174	3.26676735605921	0.700980040182534	0	0
Ppp3ca	3.35342132029737	3.6195619449897	3.25696376716848	0.362598177821225	0	0
Cmtm5	1.50257265961369	3.9177372287696	3.21882426051851	0.698912968251085	0	0
Prkcb	3.3882102035769	3.57238447464597	3.217375037491	0.355009437154972	0	0
Fos	1.79432851487619	3.83195653329017	3.16968588276849	0.662270650521679	0	0
Sparc	1.18761878592862	3.84732687760974	3.16205401717478	0.685272860434961	0	0
Pdlim2	1.14678624663259	3.82164624976881	3.14410671566895	0.677539534099866	0	0
Stmn2	2.8148724225586	3.61117650780583	3.14263132815464	0.46854517965119	0	0
Grb14	1.22583401316804	3.8125826242964	3.12418621299186	0.68839641130454	0	0
Id2	1.9226273067525	3.72412678888447	3.08536291325318	0.638763875631288	0	0
Npc2	1.69238234767117	3.71116514309785	3.01822391627434	0.692941226823504	0	0
Aspa	1.08747974111755	3.61625510026656	2.97141262778619	0.644842472480372	0	0
Hmgcs1	2.66104968557761	3.4553505868492	2.96085364209765	0.49449694475155	0	0
3110035E14Rik	2.0623740048628	3.55964865815247	2.94964479983491	0.610003858317566	0	0
Cck	2.05826429990599	3.52047151504478	2.91459775907347	0.605873755971313	0	0
Basp1	2.78397085485282	3.32685893786537	2.85820576866479	0.468653169200579	0	0
Jun	2.04905541751496	3.4827291722684	2.85279972668435	0.629929445584056	0	0
